"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"3256 Zdravotnicti asistenti (prakticke sestry)";1.7915;19700.8585;16813.8024;17865.5797;22324.0972;24923.9795;20252.4202;5.91;11.15;6.45;167.1381;"3256";"Zdravotnicti asistenti (prakticke sestry)"
"3258 Zdravotnicti zachranari";0.1432;27432.5889;22384.4932;24926.8876;29418.4984;32406.5371;27347.2512;9.63;17.61;6.59;171.9344;"3258";"Zdravotnicti zachranari"
"3259 Nutricni asistenti,ergoterapeuti bez specializace,ost.odborni zdravotnicti pracovnici";0.5017;26881.4;19463.0893;22279.2773;36334.9623;47698.8201;30623.6344;14.46;1.71;6.42;173.0729;"3259";"Nutricni asistenti,ergoterapeuti bez specializace,ost.odborni zdravotnicti pracovnici"
"3311 Zprostredkovatele financnich transakci a financni makleri ";1.1465;29399.7855;21339.9157;24060.7081;42399.8079;73012.6662;41381.7758;17.96;0.41;7.16;172.6167;"3311";"Zprostredkovatele financnich transakci a financni makleri "
"3312 Odborni pracovnici v oblasti peneznictvi";12.6479;35175.0467;23593.3426;28715.5375;46113.3405;63476.6302;41249.603;22.88;3.73;6.67;172.0204;"3312";"Odborni pracovnici v oblasti peneznictvi"
"3313 Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky";67.5195;26939.2366;16638.1986;21129.335;35152.992;46140.6714;30511.3485;15.7;1.02;6.67;171.9515;"3313";"Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky"
"3314 Odborni pracovnici v oblasti matematiky, statistiky a pojistne matematiky";0.2798;36807.8163;19897.7749;28337.7237;44706.4261;60772.6991;39621.665;16.43;1.8;6.2;168.985;"3314";"Odborni pracovnici v oblasti matematiky, statistiky a pojistne matematiky"
"3321 Odborni pracovnici v oblasti pojistovnictvi";5.5773;29602.7696;20435.2695;24721.7351;36062.5803;47173.8218;32900.1033;22.97;1.53;6.74;169.8163;"3321";"Odborni pracovnici v oblasti pojistovnictvi"
"3322 Obchodni zastupci";55.3119;27314.6742;11146.6971;18891.1772;44255.4287;62968.606;34522.154;24.03;0.76;6.15;172.2388;"3322";"Obchodni zastupci"
"3323 Nakupci";16.6713;29396.2575;16541.5025;22020.8533;37921.487;52363.387;33081.6225;17.04;1.29;6.45;170.7565;"3323";"Nakupci"
"3331 Odbytovi a prepravni agenti, celni deklaranti";9.4434;31427.2202;19530.7686;24518.103;40905.1698;53084.8751;35494.6351;19.04;2;6.48;171.0498;"3331";"Odbytovi a prepravni agenti, celni deklaranti"
"3333 Odborni pracovnici pracovnich agentur";0.4721;15538.3847;14137.128;15098.7716;17376.0098;22829.8521;18128.7239;13.74;0.46;7.89;171.2371;"3333";"Odborni pracovnici pracovnich agentur"
"3339 Obchodni,reklamacni referenti,pracovnici propagace,reklamy,ostatni zprostredkovatele";36.1384;26072.5819;14019.0571;19768.5458;34836.6397;48738.6042;30038.3813;18.29;1.04;6.41;171.3177;"3339";"Obchodni,reklamacni referenti,pracovnici propagace,reklamy,ostatni zprostredkovatele"
"3341 Vedouci v oblasti administrativnich agend";8.5987;33363.7701;21986.3004;26242.8385;47138.6717;69455.4622;42119.1648;19.51;2.29;6.75;171.1718;"3341";"Vedouci v oblasti administrativnich agend"
"3342 Odborni administrativni pracovnici v pravni oblasti";1.3198;29253.9533;16884.3064;22902.8188;35318.5459;42199.1132;30784.3847;16.29;1.03;5.99;170.9558;"3342";"Odborni administrativni pracovnici v pravni oblasti"
"3343 Odborni pracovnici v administrative a sprave organizace";46.3857;27068.3322;16457.9075;20836.7846;35671.4215;46773.2353;30465.1403;15.28;1.67;6.68;171.6535;"3343";"Odborni pracovnici v administrative a sprave organizace"
"3344 Odborni administrativni pracovnici v oblasti zdravotnictvi";0.4795;20370.7313;14268.5739;17038.5862;25033.4662;34843.293;22516.9003;6.66;3.73;6.37;172.7564;"3344";"Odborni administrativni pracovnici v oblasti zdravotnictvi"
"3412 Odborni pracovnici v oblasti socialni prace";1.6578;19882.6067;14144.8176;17259.8306;23012.1495;26840.9411;20615.0636;7.42;2.51;5.64;172.6375;"3412";"Odborni pracovnici v oblasti socialni prace"
"3432 Aranzeri a pribuzni pracovnici";3.1263;19054.7598;10249.3749;11680.3198;23910.8019;31602.3724;19890.3456;8.99;1.31;5.85;173.0927;"3432";"Aranzeri a pribuzni pracovnici"
"3434 sefkuchari a sefcukrari";1.0547;22874.9723;12089.1505;15793.2507;30346.6778;43645.8439;26311.4364;15.47;2.77;5.25;174.9686;"3434";"sefkuchari a sefcukrari"
"3511 Technici provozu ICT, technici programatori";12.8417;30894.6717;13513.8912;20711.3466;46035.2302;70654.8853;37836.647;16.79;4.11;5.76;173.8419;"3511";"Technici provozu ICT, technici programatori"
"3512 Technici uzivatelske podpory informacnich a komunikacnich technologii";9.5432;35484.5318;17986.815;25656.7346;46685.7948;67608.7177;40310.7939;10.62;3.61;6.44;172.692;"3512";"Technici uzivatelske podpory informacnich a komunikacnich technologii"
